generation,rateshifts,jumps,rootstate,jumpvariance
639000,1,1,0.615503,0
640000,0,2,-2.54578,0
641000,0,2,-2.84714,0
642000,0,1,-2.33954,0
643000,0,1,-3.46865,0
644000,0,1,-1.01658,0
645000,0,1,1.04184,0
646000,0,1,2.41101,0
647000,1,1,0.77423,0
648000,2,1,0.433619,0
649000,1,1,2.14857,0
650000,1,1,1.55195,0
651000,0,1,-1.73534,0
652000,1,1,-0.190066,0
653000,1,1,0.166601,0
654000,0,1,0.751115,0
655000,2,1,-1.32885,0
656000,1,2,-0.724738,0
657000,0,1,-1.57454,0
658000,0,1,0.0582271,0
659000,0,1,-2.23494,0
660000,1,1,-1.799,0
661000,2,1,-2.46416,0
662000,1,1,-2.32445,0
663000,2,2,-1.05281,0
664000,2,1,0.0161046,0
665000,0,1,0.0161046,0
666000,0,1,0.450155,0
667000,0,1,0.0797749,0
668000,1,1,0.910474,0
669000,0,2,-0.30067,0
670000,0,1,-1.33437,0
671000,0,1,-0.596051,0
672000,0,1,-0.7717,0
673000,0,1,-2.28287,0
674000,1,3,-0.626719,0
675000,2,1,-2.41314,0
676000,0,2,-0.930084,0
677000,2,1,0.308729,0
678000,5,1,-0.770519,0
679000,0,1,-1.88098,0
680000,2,1,0.101404,0
681000,0,1,0.0195678,0
682000,1,1,2.44017,0
683000,0,1,0.756624,0
684000,0,1,0.756624,0
685000,1,1,0.756624,0
686000,0,1,1.77687,0
687000,2,1,2.59389,0
688000,0,1,-1.12133,0
689000,1,1,-1.17472,0
690000,2,1,-0.232975,0
691000,0,1,-0.472145,0
692000,2,1,0.578247,0
693000,0,1,0.622762,0
694000,0,1,-2.69602,0
695000,0,1,-0.0986776,0
696000,0,1,2.38154,0
697000,1,1,2.47845,0
698000,1,1,0.852895,0
699000,0,1,-1.11406,0
700000,0,1,-0.428475,0
701000,1,1,0.641039,0
702000,0,1,0.89049,0
703000,0,1,1.92815,0
704000,0,1,2.61801,0
705000,2,1,2.33716,0
706000,0,1,3.52592,0
707000,1,1,3.86977,0
708000,0,1,2.72423,0
709000,0,1,1.61525,0
710000,0,1,1.52132,0
711000,0,1,0.607468,0
712000,0,2,1.23058,0
713000,0,1,0.513103,0
714000,0,1,-0.916217,0
715000,0,1,2.00744,0
716000,1,1,1.00144,0
717000,1,1,0.561781,0
718000,0,1,-2.2122,0
719000,0,2,0.130556,0
720000,3,1,0.143992,0
721000,0,1,0.38543,0
722000,0,2,1.04841,0
723000,0,1,2.08225,0
724000,1,1,2.08107,0
725000,0,1,0.722825,0
726000,0,1,0.0392696,0
727000,0,2,0.267741,0
728000,1,1,1.16118,0
729000,0,2,0.394477,0
730000,1,1,1.12164,0
731000,2,1,0.159942,0
